company_name;Ticker;sector;Executive Name;Title;job_function;Age;Year Born;survey_year;country_code;annual_base_salary;target_total_cash;target_total_direct_compensation;market_cap;ebitda;totalDebt;quickRatio;currentRatio;total_revenue;debtToEquity;revenuePerShare;returnOnAssets;returnOnEquity;gross_profits;free_cash_flow;operating_cash_flow;earningsGrowth;revenueGrowth;grossMargins;ebitdaMargins;operating_margins;profitMargins;financialCurrency
Linde plc;LIN;Basic Materials;Mr. Sanjiv  Lamba;CEO & Director;CEO;60;1964;2024;US;1.500.000;4.050.000;16.500.000;2,23E+11;12823000064;23896999936;0,73;0,94;33016999936;60555;69274;0,07;0,17;15932999680;3411000064;9630000128;0,05;0;0,48;0,39;0,28;0,2;USD
Linde plc;LIN;Basic Materials;Mr. Matthew J. White C.F.A.;Executive VP & CFO;OBM;52;1972;2024;US;920.000;1.932.000;7.032.000;2,23E+11;12823000064;23896999936;0,73;0,94;33016999936;60555;69274;0,07;0,17;15932999680;3411000064;9630000128;0,05;0;0,48;0,39;0,28;0,2;USD
Linde plc;LIN;Basic Materials;Mr. Guillermo  Bichara;Executive VP & Chief Legal Officer;OBM;49;1975;2024;US;810.000;1.579.500;4.629.000;2,23E+11;12823000064;23896999936;0,73;0,94;33016999936;60555;69274;0,07;0,17;15932999680;3411000064;9630000128;0,05;0;0,48;0,39;0,28;0,2;USD
Linde plc;LIN;Basic Materials;Mr. David P. Strauss;Executive VP & Chief Human Resources Officer;OBM;65;1959;2024;US;785.000;1.497.500;4.342.500;2,23E+11;12823000064;23896999936;0,73;0,94;33016999936;60555;69274;0,07;0,17;15932999680;3411000064;9630000128;0,05;0;0,48;0,39;0,28;0,2;USD
Linde plc;LIN;Basic Materials;Mr. Sean F. Durbin;Executive Vice President of North America;OBM;53;1971;2024;US;750.000;1.495.750;3.930.750;2,23E+11;12823000064;23896999936;0,73;0,94;33016999936;60555;69274;0,07;0,17;15932999680;3411000064;9630000128;0,05;0;0,48;0,39;0,28;0,2;USD
3M Company;MMM;Industrials;Mr. William M. Brown;CEO & Chairman;CEO;61;1963;2024;US;1.800.000;4.950.000;17.950.000;78305337344;5328000000;14133999616;1114;1657;24512999424;312492;44732;0,05;0,94;10101999616;374500000;973000000;0,22;-0,01;0,41;0,22;0,21;0,18;USD
3M Company;MMM;Industrials;Mr. Anurag  Maheshwari;CFO & Executive VP;OBM;50;1974;2024;US;1.050.000;2.205.000;6.205.000;78305337344;5328000000;14133999616;1114;1657;24512999424;312492;44732;0,05;0,94;10101999616;374500000;973000000;0,22;-0,01;0,41;0,22;0,21;0,18;USD
3M Company;MMM;Industrials;Monish Patolawala;;OBM;51;1973;2024;US;1.411.457;2.822.914;9.132.914;78305337344;5328000000;14133999616;1114;1657;24512999424;312492;44732;0,05;0,94;10101999616;374500000;973000000;0,22;-0,01;0,41;0,22;0,21;0,18;USD
3M Company;MMM;Industrials;Mr. Christian T. Goralski Jr.;Group President of Safety & Industrial;OBM;52;1972;2024;US;783.000;1.566.000;5.566.000;78305337344;5328000000;14133999616;1114;1657;24512999424;312492;44732;0,05;0,94;10101999616;374500000;973000000;0,22;-0,01;0,41;0,22;0,21;0,18;USD
3M Company;MMM;Industrials;Ms. Wendy A. Bauer;Group President of Transportation & Electronics Business Group;OBM;48;1976;2024;US;806.400;1.612.800;5.012.800;78305337344;5328000000;14133999616;1114;1657;24512999424;312492;44732;0,05;0,94;10101999616;374500000;973000000;0,22;-0,01;0,41;0,22;0,21;0,18;USD
American Express Company;AXP;Financial Services;Mr. Stephen Joseph Squeri;Chairman & CEO;CEO;64;1960;2024;US;1.750.000;8.000.000;35.000.000;2,12E+11;;53153001472;1568;1574;62049001472;170351;87764;0,04;0,34;39907000320;;13262000128;0,09;0,09;0,64;0;0,21;0,17;USD
American Express Company;AXP;Financial Services;Mr. Christophe Y. Le Caillec;Chief Financial Officer;OBM;57;1967;2024;US;950.000;4.200.000;9.900.000;2,12E+11;;53153001472;1568;1574;62049001472;170351;87764;0,04;0,34;39907000320;;13262000128;0,09;0,09;0,64;0;0,21;0,17;USD
American Express Company;AXP;Financial Services;Ms. Laureen E. Seeger;Chief Legal Officer;OBM;62;1962;2024;US;900.000;4.000.000;9.200.000;2,12E+11;;53153001472;1568;1574;62049001472;170351;87764;0,04;0,34;39907000320;;13262000128;0,09;0,09;0,64;0;0,21;0,17;USD
American Express Company;AXP;Financial Services;Mr. Anre D. Williams;Senior Executive Advisor;OBM;58;1966;2024;US;1.000.000;4.700.000;10.500.000;2,12E+11;;53153001472;1568;1574;62049001472;170351;87764;0,04;0,34;39907000320;;13262000128;0,09;0,09;0,64;0;0,21;0,17;USD
American Express Company;AXP;Financial Services;Mr. Douglas E. Buckminster;Vice Chairman;OBM;63;1961;2024;US;1.100.000;5.100.000;12.000.000;2,12E+11;;53153001472;1568;1574;62049001472;170351;87764;0,04;0,34;39907000320;;13262000128;0,09;0,09;0,64;0;0,21;0,17;USD
Apple Inc.;AAPL;Technology;Mr. Timothy D. Cook;CEO & Director;CEO;63;1961;2024;US;3.000.000;9.000.000;59.000.000;3,05E+12;1,39E+11;98186002432;0,68;0,82;4,00E+11;146994;26455;0,24;138015;1,87E+11;97251500032;1,10E+11;0,08;0,05;0,47;0,35;0,31;0,24;USD
Apple Inc.;AAPL;Technology;Mr. Jeffrey E. Williams;Chief Operating Officer;OBM;60;1964;2024;US;1.000.000;3.000.000;23.000.000;3,05E+12;1,39E+11;98186002432;0,68;0,82;4,00E+11;146994;26455;0,24;138015;1,87E+11;97251500032;1,10E+11;0,08;0,05;0,47;0,35;0,31;0,24;USD
Apple Inc.;AAPL;Technology;Ms. Katherine L. Adams;Senior VP, General Counsel & Secretary;OBM;60;1964;2024;US;1.000.000;3.000.000;23.000.000;3,05E+12;1,39E+11;98186002432;0,68;0,82;4,00E+11;146994;26455;0,24;138015;1,87E+11;97251500032;1,10E+11;0,08;0,05;0,47;0,35;0,31;0,24;USD
Apple Inc.;AAPL;Technology;Ms. Deirdre  O'Brien;Chief People Officer & Senior VP of Retail;OBM;57;1967;2024;US;1.000.000;3.000.000;23.000.000;3,05E+12;1,39E+11;98186002432;0,68;0,82;4,00E+11;146994;26455;0,24;138015;1,87E+11;97251500032;1,10E+11;0,08;0,05;0,47;0,35;0,31;0,24;USD
